i,j,minutos
18,15,228
18,16,77
18,17,78
18,18,77
18,19,121
18,20,126
18,21,128
18,22,288
18,23,286
18,24,298
18,25,301
18,26,309
18,27,36
18,28,37
18,29,12035
18,30,12035
18,31,12034
18,32,29
18,33,28
18,34,27
18,35,49
18,36,49
18,37,96
18,38,96
18,39,95
18,40,102
18,41,100
18,42,98
18,43,90
18,44,89
18,45,89
18,46,184
18,47,190
18,48,189
18,49,2
18,50,9
18,51,4
18,52,101
18,53,101
18,54,142
18,55,103
18,56,187
18,57,187
18,58,64
18,59,85
18,60,150
18,61,150
18,62,152
18,63,62
18,64,62
18,65,61
18,66,143
18,67,135
18,68,141
18,69,102
18,70,101
18,71,101
18,72,162
18,73,164
18,74,347
18,75,343
18,76,346
18,77,192
18,78,192
18,79,154
18,80,146
18,81,144
18,82,167
18,83,167
18,84,167
18,85,354
18,86,355
18,87,365
18,88,170
18,89,172
18,90,170
18,91,130
18,92,128
18,93,132
18,94,148
18,95,151
18,96,134
18,97,95
18,98,96
19,1,200
19,2,200
19,3,202
19,4,206
19,5,207
19,6,204
19,7,180
19,8,186
19,9,183
19,10,234
19,11,236
19,12,229
19,13,135
19,14,136
19,15,139
19,16,102
19,17,101
19,18,101
19,19,106
19,20,108
19,21,108
19,22,214
19,23,212
19,24,220
19,25,221
19,26,226
19,27,71
19,28,70
19,29,12043
19,30,12043
19,31,12041
19,32,73
19,33,73
19,34,74
19,35,54
19,36,55
19,37,197
19,38,197
19,39,196
19,40,26
19,41,28
19,42,29
19,43,90
19,44,87
19,45,87
19,46,181
19,47,186
19,48,184
19,49,100
19,50,110
19,51,97
19,52,2
19,53,5
19,54,158
19,55,192
19,56,278
19,57,278
19,58,121
19,59,130
19,60,190
19,61,188
19,62,193
19,63,45
19,64,46
19,65,48
19,66,91
19,67,74
19,68,82
19,69,131
19,70,131
19,71,133
19,72,158
19,73,159
19,74,258
19,75,255
19,76,258
19,77,195
19,78,194
19,79,169
19,80,164
19,81,161
19,82,181
19,83,182
19,84,180
19,85,266
19,86,267
19,87,275
19,88,129
19,89,133
19,90,129
19,91,64
19,92,60
19,93,68
19,94,110
19,95,106
19,96,94
19,97,179
19,98,180
20,1,357
20,2,356
20,3,359
20,4,154
20,5,154
20,6,155
20,7,53
20,8,60
20,9,64
20,10,382
20,11,385
20,12,379
20,13,285
20,14,287
20,15,290
20,16,68
20,17,68
20,18,68
20,19,244
20,20,248
20,21,249
20,22,370
20,23,368
20,24,376
20,25,376
20,26,378
20,27,124
20,28,124
20,29,12176
20,30,12176
20,31,12175
20,32,144
20,33,141
20,34,141
20,35,152
20,36,153
20,37,190
20,38,186
20,39,185
20,40,181
20,41,181
20,42,181
20,43,70
20,44,72
20,45,73
20,46,46
20,47,52
20,48,51
20,49,141
20,50,145
20,51,142
20,52,160
20,53,153
20,54,1
20,55,230
20,56,191
20,57,191
20,58,205
20,59,226
20,60,45
20,61,42
20,62,47
20,63,160
20,64,162
20,65,162
20,66,245
20,67,230
20,68,237
20,69,241
20,70,240
20,71,240
20,72,31
20,73,35
20,74,405
20,75,402
20,76,405
20,77,51
20,78,51
20,79,12
20,80,5
20,81,4
20,82,26
20,83,26
20,84,25
20,85,412
20,86,414
20,87,420
20,88,281
20,89,285
20,90,281
20,91,220
20,92,216
20,93,224
20,94,260
20,95,259
20,96,243
20,97,228
20,98,229
21,1,319
21,2,318
21,3,322
21,4,116
21,5,117
21,6,113
21,7,281
21,8,289
21,9,290
21,10,378
21,11,378
21,12,369
21,13,292
21,14,292
21,15,293
21,16,173
21,17,175
21,18,174
21,19,152
21,20,157
21,21,158
21,22,331
21,23,330
21,24,344
21,25,349
21,26,361
21,27,138
21,28,139
21,29,11965
21,30,11965
21,31,11964
21,32,124
21,33,125
21,34,125
21,35,138
21,36,138
21,37,60
21,38,66
21,39,66
21,40,183
21,41,180
